text,source,translation,notes
"Bonjour","Bonjour","Good Day / Hello","boh-zhoor"
"Bonsoir","Bonsoir","Good Evening","boh-swahr"
"Merci beaucoup","Merci beaucoup","Thank you very much","mair-see boh-koo"
"S'il vous plaît","S'il vous plaît","Please (Formal)","seel voo pleh"
"De rien","De rien","You're Welcome (Informal)","duh ree-eh"
"Je vous en prie","Je vous en prie.","Formal Your welcome","zhuh voo zoh pree"
"Il n'y a pas de quoi","Il n'y a pas de quoi","Your Welcome (Polite)","eel nee ah pah duh kwah"
"Bonne journée","Bonne journée","Have a nice day.","bunn zhoor-nay"
"L'addition, s'il vous plaît","L'addition, s'il vous plaît.","The bill, please.","lah-dee-see-oh, seel voo pleh"
"Je voudrais de l'eau, s'il vous plaît","Je voudrais de l'eau, s'il vous plaît.","I would like some water, please.","Zhuh voo-dray duh loh, seel voo pleh"
"À point, s'il vous plaît","À point, s'il vous plaît.","Medium / Medium-Rare, please.","ah pwah, seel voo pleh"
"Bien cuit, s'il vous plaît","Bien cuit, s'il vous plaît","Well Done, please.","bee-eh kwee, seel voo pleh"
"Il pleut des cordes","Il pleut des cordes","Raining ropes (Idiom).","Eel pluh day kord."
"Il pleut à seaux","Il pleut à seaux","It's raining buckets.","Eel pluh ah soh"
"Il fait une de ces chaleurs","Il fait une de ces chaleurs","It's boiling hot.","eel fay ew-n duh say shah-lur"
"Il fait frisquet","Il fait frisquet","It's chilly.","eel fay free-skay"
"Il fait un froid polaire","Il fait un froid polaire","It's freezing.","eel fay u frwah poh-lair"
"Il fait un froid de canard","Il fait un froid de canard","It's bitterly cold.","eel fay u frwah duh kah-nahr"
"Il fait doux, hein?","Il fait doux, hein?","It's mild, huh?","eel fay doo, eh"
"Il fait frais, hein?","Il fait frais, hein?","It's cool, huh?","eel fay frè, eh"
"Il fait chaud, hein?","Il fait chaud, hein?","It's hot, huh?","eel fay shoh, eh"
"Il fait froid, hein?","Il fait froid, hein?","It's cold, huh?","eel fay frwah, eh"
"Il fait bon, hein?","Il fait bon, hein?","It's nice (weather), huh?","eel fay boh, eh"
"Combien?","Combien?","How much? (Used with pointing)","koh-bee-eh"
"Je vais prendre une baguette","Je vais prendre une baguette","I will take a baguette.","zhuh vay proh-dr ew-n bah-gett"
"Non, je vais en acheter un","Non, je vais en acheter un","No, I will buy one (a bag).","noh, zhuh vay z-oh nah-shuh-tay u"
"C'est tout, merci","C'est tout, merci","That's all, thank you.","say too, mair-see"
"Par carte, s'il vous plaît","Par carte, s'il vous plaît","By card, please.","pahr kart, seel voo pleh"
"En espèces, s'il vous plaît","En espèces, s'il vous plaît","In cash, please.","oh-z-ess-pess, seel voo pleh"
"Vous êtes prêts?","Vous êtes prêts?","Are you ready? (Ready to serve me?)","voo-z-ett pray"
"C'est encore possible?","C'est encore possible?","Is it still possible?","say z-oh-kor poh-see-bluh"
"Je suis désolé, je ne parle pas bien français","Je suis désolé, je ne parle pas bien français","I'm sorry, I don't speak French well.","zhuh swee day-zoh-lay, zhuh nuh pahl pah bee-eh frah-say"
"Pourriez-vous répéter, s'il vous plaît?","Pourriez-vous répéter, s'il vous plaît.","Could you repeat that, please.","poo-ree-yay voo ray-pay-tay, seel voo pleh"
"Je ne comprends pas","Je ne comprends pas","I don't understand.","zhuh nuh koh-proh pah"
"Parlez-vous anglais?","Parlez-vous anglais?","Do you speak English?","pahr-lay voo ah-glay"
"Aujourd'hui","Aujourd'hui","Today","oh-zhoor-dwee"
"Demain","Demain","Tomorrow","duh-meh"
"Hier","Hier","Yesterday","ee-air"
"C'est ouvert quel jour?","C'est ouvert quel jour?","Which day is it open?","say oo-vair kell zhoor"
"Lundi","Lundi","Monday","lu-dee"
"Mardi","Mardi","Tuesday","mar-dee"
"Mercredi","Mercredi","Wednesday","mair-kruh-dee"
"Jeudi","Jeudi","Thursday","zhuh-dee"
"Vendredi","Vendredi","Friday","voh-druh-dee"
"Samedi","Samedi","Saturday","sahm-dee"
"Dimanche","Dimanche","Sunday","dee-mahsh"

